link,paragraph_info,title,Pat
https://www.trisrating.com/th/rating-news/180-bbbstable/,ทริสเรทติ้งคงอันดับเครดิตองค์กรของ บริษัท ปริญสิริ จํากัด (มหาชน) ที่ระดับ “BBB” ด้วย แนวโน้มอันดับเครดิต “Stable” หรือ “คงที่” ในขณะเดียวกัน ทริสเรทติ้งจัดอันดับเครดิตหุ้นกู้ไม่ด้อย สิทธิ มีหลักประกันชุดใหม่ในวงเงินไม่เกิน 180 ล้านบาท ไถ่ถอนภายใน 1 ปี ที่ระดับ “BBB” โดยจะ นําเงินที่ได้จากการออกหุ้นกู้ไปใช้รีไฟแนนซ์เงินกู้บางส่วน,ทริสเรทติ้งจัดอันดับเครดิตหุ้นกู้ไม่ด้อยสิทธิ มีหลักประกันวงเงินไม่เกิน 180 ล้านบาท  “บ. ปริญสิริ” ที่ระดับ “BBB/Stable”,0
https://www.trisrating.com/th/rating-news/180-bbbstable/,อันดับเครดิตสะท้อนถึงฐานรายได้ของบริษัทที่มีขนาดเล็ก ภาระหนี้ระดับปานกลาง และ ความสามารถในการทํากําไรที่อยู่ในระดับที่ยอมรับได้ อันดับเครดิตยังคํานึงถึงวัฏจักรของธุรกิจ อสังหาริมทรัพย์เพื่ออยู่อาศัยและความต้องการที่อยู่อาศัยที่ชะลอตัวอันเนื่องมาจากผลกระทบทาง เศรษฐกิจจากการแพร่ระบาดของไวรัสโควิด-19 ซึ่งเพิ่มความกดดันต่อเศรษฐกิจที่อ่อนแออยู่แล้ว,ทริสเรทติ้งจัดอันดับเครดิตหุ้นกู้ไม่ด้อยสิทธิ มีหลักประกันวงเงินไม่เกิน 180 ล้านบาท  “บ. ปริญสิริ” ที่ระดับ “BBB/Stable”,0-
https://www.trisrating.com/th/rating-news/180-bbbstable/,อันดับเครดิตของหุ้นกู้มีประกันของบริษัทเพิ่มขึ้น 1 อันดับจากอันดับเครดิตองค์กรสะท้อนถึงการ เรียกคืนที่ดีกว่าของผู้ถือหุ้นกู้มีประกันหากเกิดเหตุการณ์ผิดนัดชําระ หุ้นกู้มีประกันชุดนี้มี หลักประกันคือที่ดิน 3 แปลงรวมเนื้อที่ 132 ไร่มูลค่ารวม 334 ล้านบาท (มูลค่าเฉลี่ยจากบริษัท ประเมิน 2 บริษัท) หรือ 1.85 เท่าของมูลค่าหุ้นกู้ชุดนี้ เพื่อที่จะคงอันดับเครดิต บริษัทต้องรักษา มูลค่าหลักประกันอย่างน้อย 1.67 เท่าของภาระหนี้ของหุ้นกู้มีประกัน และอัตราส่วนภาระหนี้ที่มี ประกันต่อสินทรัพย์รวมทั้งหมดของบริษัทต้องคงที่ที่ระดับต่ํากว่า 20% ณ เดือนมีนาคม 2563 อัตราส่วนภาระหนี้ที่มีประกันต่อสินทรัพย์รวมทั้งหมดของบริษัทอยู่ที่,ทริสเรทติ้งจัดอันดับเครดิตหุ้นกู้ไม่ด้อยสิทธิ มีหลักประกันวงเงินไม่เกิน 180 ล้านบาท  “บ. ปริญสิริ” ที่ระดับ “BBB/Stable”,0
https://www.trisrating.com/th/rating-news/180-bbbstable/,12% ในช่วงไตรมาสแรกของปี 2563 รายได้ของบริษัทอยู่ที่ 444 ล้านบาทลดลงเล็กน้อย 6% จากปีที่แล้ว เนื่องจากไม่มีการเปิดโครงการใหม่ อีกทั้งความต้องการของผู้ซื้อบ้านหยุดชะงักอันเนื่องมาจากการ แพร่ระบาดของไวรัสโควิด-19 อย่างไรก็ตาม ความต้องการอสังหาริมทรัพย์เพื่ออยู่อาศัยเริ่มส่ง สัญญาณฟื้นตัวตั้งแต่กลางเดือนเมษายน 2563 หลังจากการแพร่ระบาดได้ชะลอลงและ ผู้ประกอบการหลายรายมีการเสนอโปรโมชั่นดึงดูดใจแก่ผู้ซื้อบ้าน ยอดขายของบริษัทในเดือน เมษายน 2563 เริ่มฟื้นตัว โดยยอดขาย 4 เดือนแรกของปี 2563 อยู่ที่ 572 ล้านบาทเพิ่มขึ้น 1% จากช่วงเดียวกันของปีที่แล้ว,ทริสเรทติ้งจัดอันดับเครดิตหุ้นกู้ไม่ด้อยสิทธิ มีหลักประกันวงเงินไม่เกิน 180 ล้านบาท  “บ. ปริญสิริ” ที่ระดับ “BBB/Stable”,0
https://www.trisrating.com/th/rating-news/180-bbbstable/,ภายใต้สมมติฐานของทริสเรทติ้ง คาดว่ารายได้ของบริษัทอยู่ที่ 2.0-2.4 พันล้านบาทต่อปีในช่วง 2-3 ปีข้างหน้า อัตรากําไรจากการดําเนินงานคาดว่าจะดีขึ้นอยู่ที่ 14% จาก 12.5% ในไตรมาสแรกของปี 2563 เนื่องจากบริษัทไม่มีค่าใช้จ่ายในส่วนคอมมูนิตี้มอลล์ หลังจากให้สิทธิการเช่าแก่ทรัสต์ฯ อัตราส่วนหนี้สินทางการเงินต่อเงินทุนคาดว่าจะอยู่ในราว 45% อัตราส่วนเงินทุนจากการดําเนินงาน ต่อหนี้สินทางการเงินจะอยู่ที่ 4%-6% ในขณะที่อัตราส่วนหนี้สินทางการเงินต่อกําไรก่อนดอกเบี้ย จ่าย ภาษี ค่าเสื่อมราคาและค่าตัดจําหน่ายคาดว่าจะมากกว่า 2 เท่าในช่วง 3 ปีข้างหน้า,ทริสเรทติ้งจัดอันดับเครดิตหุ้นกู้ไม่ด้อยสิทธิ มีหลักประกันวงเงินไม่เกิน 180 ล้านบาท  “บ. ปริญสิริ” ที่ระดับ “BBB/Stable”,0+
https://www.trisrating.com/th/rating-news/180-bbbstable/,ทริสเรทติ้งประเมินสภาพคล่องของบริษัทยังมีความตึงตัวแต่คาดว่าสามารถจัดการได้ ณ เดือน มีนาคม 2563 บริษัทมีภาระหนี้ที่จะครบกําหนดชําระในอีก 12 เดือนข้างหน้าจํานวน 950 ล้านบาท ซึ่งประกอบด้วยหุ้นกู้จํานวน 700 ล้านบาท ตัวแลกเงินจํานวน 240 ล้านบาท และวงเงินกู้ระยะสั้น จํานวน 10 ล้านบาท สภาพคล่องทางการเงินของบริษัทนั้นประกอบด้วยเงินสดจํานวน 302 ล้าน บาท และวงเงินกู้ยืมจากธนาคารที่ยังไม่ได้เบิกใช้และไม่ติดเงื่อนไขในการเบิกอีก 140 ล้านบาท และวงเงินกู้ยืมระยะสั้นจากธนาคารที่ยังไม่ได้เบิกใช้อีก 70 ล้านบาท เมื่อไม่นานมานี้ บริษัทได้รับ วงเงินสํารองจากธนาคารจํานวน 700 ล้านบาท เงินทุนจากการดําเนินงานของบริษัทคาดว่าจะอยู่ที่ ประมาณ 150-200 ล้านบาทในช่วงปี 2563-2565 นอกจากนี้ บริษัทมีที่ดินที่ไม่ติดภาระเป็น หลักประกันคิดเป็นมูลค่าทางบัญชีอยู่ประมาณ 3.2 พันล้านบาท ซึ่งเป็นแหล่งสภาพคล่องได้อีก แหล่งหนึ่งหากจําเป็นข้อกําหนดทางการเงินสําหรับหุ้นกู้และเงินกู้จากสถาบันการเงินประกอบด้วย,ทริสเรทติ้งจัดอันดับเครดิตหุ้นกู้ไม่ด้อยสิทธิ มีหลักประกันวงเงินไม่เกิน 180 ล้านบาท  “บ. ปริญสิริ” ที่ระดับ “BBB/Stable”,0
https://www.trisrating.com/th/rating-news/180-bbbstable/,"เครดิตวาระ เป็นขั้นตอนหนึ่งในกระบวนการทบทวนอันดับเครดิตขององค์กรหรือตราสารหนี้ที่ทริสเรทติ้งได้ประกาศผลไปแล้ว ซึ่งโดยปกติการทบทวนดังกล่าวจะกระทําตลอดอายุของสัญญาหรือตราสาร และ สรุปผลเมื่อครบรอบปี ในระหว่างนั้นหากหน่วยงานดังกล่าวออกตราสารหนี้ใหม่ หรือเมื่อมีเหตุการณ์สําคัญที่อาจมีผลกระทบต่อธุรกิจหรือการเงินของหน่วยงานนั้นๆ และมีข้อมูลผลกระทบเพียงพอที่จะปรับ อันดับเครดิต หรือเมื่อมีเหตุให้ต้องยกเลิกอันดับเครดิตเดิม ทริสเรทติ้งจะประกาศ ""เครดิตวาระ"" แก่สาธารณะ โดยผลอันดับเครดิตอาจ ""เพิ่มขึ้น"" (Upgraded) ""ลดลง"" (Downgraded) ""คงเดิม"" (Affirmed) หรือ ""ยกเลิก"" (Cancelled)",ทริสเรทติ้งจัดอันดับเครดิตหุ้นกู้ไม่ด้อยสิทธิ มีหลักประกันวงเงินไม่เกิน 180 ล้านบาท  “บ. ปริญสิริ” ที่ระดับ “BBB/Stable”,0
https://www.trisrating.com/th/rating-news/180-bbbstable/,ต้องรักษาอัตราส่วนหนี้สินที่มีภาระดอกเบี้ยต่อทุนที่ระดับไม่เกิน 2.5 เท่า และอัตราส่วนหนี้สินต่อทุนที่ระดับไม่เกิน 2 เท่า ณ เดือนมีนาคม 2563 บริษัทมี อัตราส่วนดังกล่าวอยู่ที่ประมาณ 0.9 เท่า และ 1.1 เท่าตามลําดับ,ทริสเรทติ้งจัดอันดับเครดิตหุ้นกู้ไม่ด้อยสิทธิ มีหลักประกันวงเงินไม่เกิน 180 ล้านบาท  “บ. ปริญสิริ” ที่ระดับ “BBB/Stable”,0+
https://www.trisrating.com/th/rating-news/180-bbbstable/,ณ เดือนเมษายน 2563 บริษัทมีโครงการเหลือขายจํานวน 19 โครงการ มูลค่าเหลือขายประมาณ 5.8 พันล้านบาท โดยประมาณ 55% เป็นโครงการบ้าน เดี่ยวและบ้านแฝด ในขณะที่ประมาณ 18% เป็นโครงการทาวน์เฮ้าส์ และอีก 27% เป็นโครงการคอนโดมิเนียม ในไตรมาสที่ 2 และ 3 ของปี 2563 บริษัท มีแผนจะเปิดตัวโครงการแนวราบ 3 โครงการซึ่งมีมูลค่าประมาณ 3.5 พันล้านบาท,ทริสเรทติ้งจัดอันดับเครดิตหุ้นกู้ไม่ด้อยสิทธิ มีหลักประกันวงเงินไม่เกิน 180 ล้านบาท  “บ. ปริญสิริ” ที่ระดับ “BBB/Stable”,0-
https://www.trisrating.com/th/rating-news/180-bbbstable/,หรือ “คงที่” สะท้อนความคาดหวังของทริสเรทติ้งว่าบริษัทจะรักษาผลการดําเนินงานได้ตามคาดและคงสถานะทางการเงิน ที่ระดับเดิมเอาไว้ได้ นอกจากนี้ ทริสเรทติ้งยังคาดว่ารายได้ของบริษัทจะเติบโตอยู่ที่ราว ๆ ปีละ 2.0-2.4 พันล้านบาทในช่วง 3 ปีข้างหน้า ในขณะที่ สามารถคงอัตราส่วนหนี้สินทางการเงินต่อเงินทุนต่ํากว่า 50% ไว้ได้ และอัตรากําไรจากการดําเนินงานสูงกว่า 10% ปัจจัยที่อาจทําให้อันดับเครดิตเปลี่ยนแปลง,ทริสเรทติ้งจัดอันดับเครดิตหุ้นกู้ไม่ด้อยสิทธิ มีหลักประกันวงเงินไม่เกิน 180 ล้านบาท  “บ. ปริญสิริ” ที่ระดับ “BBB/Stable”,0+
